,YEAR,ROUND,HSEED,HTEAM,fav_prob,upset_prob,LSEED,LTEAM,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,X2P_O,X2P_D,X3P_O,X3P_D,ADJ_T,WAB
14,2023,1,1,Houston,96.89%,3.11%,4,Virginia,2,6,7.7,-4.7,0.1023,1.4,-5.8,1.6,2.3,11.6,2.4,-6,9.7,2.8,-3.4,-0.8,-6.2,1.9,4.4
15,2023,1,1,Houston,95.26%,4.74%,4,Indiana,1,9,4.6,-7.5,0.1044,-1.1,-4.8,-1.6,5.7,9.1,-0.5,-1.6,5.2,0,-2.6,-2.5,-5.4,-4.8,5.1
16,2023,1,1,Houston,88.50%,11.50%,5,Saint Mary's,1,5,5,-0.7,0.0307,0.2,-4.2,-1.1,3,4,5.6,-2.7,5.5,2.2,-2.5,-2.2,-5,1.2,4.5
17,2023,1,1,Houston,93.55%,6.45%,5,San Diego State,1,4,5.2,-0.7,0.0319,2.6,-5,-2.3,2.4,5.4,1.6,-5.8,6.4,3.8,-6.8,0.1,-1.4,-2.8,1.9
18,2023,1,1,Houston,86.33%,13.67%,5,Duke,0,5,5.4,-4.4,0.0715,1.6,-3.8,-2.9,5.4,0.9,1.5,-2.3,11.7,1.8,-3.6,0.9,-2.6,-1.9,4.1
19,2023,1,1,Houston,95.60%,4.40%,5,Miami FL,2,6,-0.2,-12.8,0.1222,-2.3,-8.8,-1.1,3.9,5.1,-1.6,-1.5,11.7,-1.7,-8.7,-2.3,-5.8,-5.5,4.9
20,2023,1,1,Houston,95.94%,4.06%,6,Creighton,1,10,3.6,-4.1,0.0517,-1.6,-4.8,-1.3,7.7,11.6,4.1,0.4,16,-1.3,-2.5,-1.5,-6.3,-4.6,6.5
21,2023,1,1,Houston,86.72%,13.28%,6,Iowa State,2,12,8.4,-1.7,0.0696,2,-7.6,-4.5,-3.1,3.2,0.8,0.7,-4.2,2.5,-6.5,0.6,-6,-0.9,5.7
22,2023,1,1,Houston,92.07%,7.93%,6,TCU,1,10,6,-4.7,0.082,2.5,-5.3,-1.8,0.1,4.7,-3.3,-5.4,6.1,1.3,-6,3.9,-2.6,-6.5,5.8
23,2023,1,1,Houston,97.62%,2.38%,6,Kentucky,2,10,1.4,-9.3,0.0916,1.5,-6.3,-2,5.2,-1.6,1.9,-4,5.9,2.8,-5.2,-0.9,-5.3,-2.7,6.4
24,2023,1,1,Houston,90.91%,9.09%,7,Texas A&M,0,6,3.1,-5.2,0.0587,3.7,-5.4,-3,0.9,0.4,-3,-17.4,0.7,4.2,-4.3,1.7,-4.5,-2.9,4.3
25,2023,1,1,Houston,99.45%,0.55%,7,Michigan State,3,12,5.2,-6.6,0.0985,1.1,-5.6,-1.1,7.3,9.7,2.2,2.7,7.2,5.5,-5.5,-5,-3.7,-1.6,6
26,2023,1,1,Houston,97.76%,2.24%,7,Northwestern,2,10,9.6,-3.6,0.1105,5.5,-5.9,0.5,0.3,8.8,0.1,-1.2,4.2,6.7,-3.5,2.4,-6.1,-1.7,6.9
27,2023,1,1,Houston,80.11%,19.89%,7,Missouri,1,7,-0.3,-14.7,0.1516,-2.4,-9.8,-0.7,-2.3,10.3,-9.9,-1,0.6,-2.7,-8.6,-1.6,-7.6,-6,4.4
28,2023,1,1,Houston,84.19%,15.81%,8,Memphis,0,5,2.6,-5.4,0.0569,-0.5,-4.3,-3.1,1.1,6.1,-4.9,-7.4,0.9,0.1,-4.1,-1.1,-3,-8.2,3.3
29,2023,1,1,Houston,93.35%,6.65%,8,Arkansas,1,11,5.8,-3.4,0.0637,0.7,-4,-3,1.6,6.6,-0.8,-10.3,-3.1,-0.6,-3.8,2.8,-2.8,-6.3,7.5
30,2023,1,1,Houston,94.08%,5.92%,8,Maryland,1,10,5,-6.6,0.0959,1.6,-5.4,-0.9,3.6,6.9,0.2,-5.3,8,1.2,-4.6,1.5,-4.3,-1.4,7.6
31,2023,1,1,Houston,98.10%,1.90%,8,Iowa,2,12,-2.4,-14.8,0.1221,0.8,-10.8,1.2,3.5,4.9,-0.2,-4.1,12.4,1.1,-9.5,0.2,-8.8,-6.3,8.2
32,2023,1,1,Houston,94.40%,5.60%,9,West Virginia,1,12,0.8,-7.7,0.0649,1,-8.2,-3.2,1.1,3.4,-1.9,-11.2,-2.7,1.9,-7.4,-0.3,-6.3,-5.4,6.6
33,2023,1,1,Houston,97.69%,2.31%,9,Auburn,2,11,5.1,-4.9,0.0749,3.1,-3.1,-2.8,2.7,3.8,-4.6,-7,-3.3,2.2,-3.8,3.1,-1,-4.4,6.9
34,2023,1,1,Houston,77.66%,22.34%,9,Florida Atlantic,0,0,5.4,-6.5,0.1004,-2.3,-3.4,-1.4,3.7,6.7,2.9,-1,9.1,-1.1,-1.7,-2.7,-4.2,-4.9,4.1
35,2023,1,1,Houston,96.61%,3.39%,9,Illinois,2,11,8.1,-6.3,0.1344,1.1,-4.4,-2.9,3.4,4.8,0.6,-5.3,6.2,-2.1,-2.2,3.6,-5.8,-6.4,7.7
36,2023,1,1,Houston,91.10%,8.90%,10,Utah State,0,5,1,-8.6,0.0779,-2.9,-5.3,-2.1,6.2,9.7,2.6,-7,5.6,-0.9,-2.8,-4,-6.5,-5.5,4.5
37,2023,1,1,Houston,94.93%,5.07%,10,Boise State,1,7,7.8,-4.4,0.0993,0.8,-4.8,-1.4,4.3,10.7,3.6,-2.2,8.4,2.5,-4.7,-1.5,-3.2,-3.2,5.5
38,2023,1,1,Houston,98.33%,1.67%,10,USC,2,9,5.6,-8.1,0.1275,1.4,-2.7,-2.8,3.9,8.1,-5.6,-5.3,6,2.1,0.7,0,-5.6,-4.9,6.3
39,2023,1,1,Houston,84.39%,15.61%,10,Penn State,-1,9,1.3,-12,0.1289,-2.8,-6.7,1.6,8.9,18.3,2.3,7.1,9.9,-0.3,-5.7,-4,-5.5,-1.3,7
40,2023,1,1,Houston,93.01%,6.99%,11,North Carolina State,1,8,4.1,-10.2,0.14,0.9,-7.3,1.7,2.9,6.4,0.8,3.2,1.8,1.7,-7.5,-0.4,-4.4,-6.1,7.5
41,2023,1,1,Houston,90.03%,9.97%,11,Mississippi State,1,10,14.1,-2.1,0.1536,5.8,-3.7,-4,0,1.9,-1.6,-6.1,8.2,2.7,-3.1,7.9,-3,-0.4,7.6
42,2023,1,1,Houston,98.36%,1.64%,11,Providence,2,10,2.5,-12.4,0.1545,1.2,-7.5,-1.6,5.1,1.9,0.7,-8.3,10.3,2.3,-6.5,-0.6,-6.1,-3.7,7.4
43,2023,1,1,Houston,98.73%,1.27%,11,Nevada,2,9,8,-7.6,0.1557,2.2,-6.5,0.1,3.3,14.2,2.3,-11,4.4,2.9,-6.2,0.7,-4.7,-2.7,7
44,2023,1,1,Houston,92.29%,7.71%,11,Arizona State,0,9,11.7,-5.2,0.1738,5.2,-3.9,-1.6,1.4,7.5,-4.4,-2.3,2.4,5.3,-0.7,3.1,-5.8,-5.1,7.1
45,2023,1,1,Houston,95.44%,4.56%,11,Pittsburgh,1,9,4.3,-14.1,0.2177,-0.5,-6.7,-1.1,5.3,6.7,-0.8,-3.9,5.2,0.5,-5.5,-1.5,-5.6,-4,8.9
46,2023,1,1,Houston,86.59%,13.41%,12,Drake,0,4,7.5,-6.8,0.1344,-0.4,-4.8,-0.2,4.3,12.8,5,-0.3,9.1,1.3,-4.4,-2.2,-3.4,-3.1,8.6
47,2023,1,1,Houston,77.31%,22.69%,12,VCU,0,4,12.1,-4.1,0.1567,0.5,-4.5,-4.2,-2.1,8.1,-2.4,-13.3,5.3,0.9,-3.1,-0.2,-4.5,-4.8,7.3
48,2023,1,1,Houston,81.01%,18.99%,12,Oral Roberts,0,1,4.7,-11.6,0.1754,-3.4,-6,2.1,4.4,12.6,0,3.9,13.8,-3.4,-3.5,-2.5,-6.4,-7.2,6.4
49,2023,1,1,Houston,83.03%,16.97%,12,College of Charleston,0,0,7.9,-8.9,0.1786,1.2,-5.4,-1.4,2.7,2,1.9,-4.2,11.1,0.3,-6,1.2,-2.5,-7.9,6.6
50,2023,1,1,Houston,80.71%,19.29%,13,Iona,0,4,8.2,-8.6,0.1773,0.9,-3.4,0,1.1,5.1,-3.1,-0.5,4.6,2.4,-3.9,-1.5,-1.4,-5.4,9.9
51,2023,1,1,Houston,75.69%,24.31%,13,Kent State,0,3,10.5,-7.3,0.1937,1.4,-4.7,-1,-0.6,6.2,-2.8,-3.5,-3,1,-4.7,1.3,-3.1,-4.8,7.3
52,2023,1,1,Houston,95.11%,4.89%,13,Louisiana Lafayette,1,5,5.8,-12.9,0.2227,-0.3,-8.1,-2.2,3.9,3.3,1,-9.2,2,1,-6.1,-2.1,-8.1,-5.2,8.7
53,2023,1,1,Houston,75.20%,24.80%,13,Furman,0,4,4.4,-15.1,0.2414,-2.9,-8.1,-0.5,3.6,7.5,0.3,-6.2,4,-5.9,-8.1,0.1,-5.3,-5.2,10.3
54,2023,1,1,Houston,91.31%,8.69%,14,Montana State,0,6,12.6,-8.5,0.2665,1.8,-6.9,-2.3,1.9,11.4,1.9,-15.9,0.3,0.8,-4.9,2.5,-7,-3.1,11
55,2023,1,1,Houston,89.28%,10.72%,14,Kennesaw State,0,5,11.8,-11.5,0.3245,-0.2,-8.7,-2.6,2.4,9.6,1.6,-8,-0.4,1.9,-7.4,-2.6,-7,-5.3,9.6
56,2023,1,1,Houston,88.93%,11.07%,14,Grand Canyon,-1,7,6.2,-17,0.3278,-0.2,-4.7,-3.1,7,6.6,-2.9,-9.3,2.6,2.7,-3.7,-3.1,-4.2,-1.7,11.9
57,2023,1,1,Houston,82.06%,17.94%,14,UC Santa Barbara,0,4,7.2,-16.2,0.3329,-1.5,-7.3,-1.5,3.3,10.5,1.3,-6.4,6.6,-1.6,-5.8,-0.6,-6.7,-1.4,9.5
58,2023,1,1,Houston,92.91%,7.09%,15,Vermont,1,8,7.8,-12.9,0.2648,-2.2,-8.2,1.1,5.2,17.8,4.9,0.1,8.9,-2.3,-6.9,-1.7,-6.8,-1.4,12.1
59,2023,1,1,Houston,75.46%,24.54%,15,Colgate,0,5,5.7,-16.3,0.2979,-5.9,-9.4,0.4,4.4,12.2,3.3,0.9,15.5,-3.9,-8.4,-6.4,-7.1,-4.5,11.9
60,2023,1,1,Houston,99.86%,0.14%,15,Princeton,5,10,9.4,-13.1,0.3058,0.2,-5.5,-1.6,7.5,8.7,4.6,-3.7,6.5,-0.3,-4.1,0.5,-5.3,-4.2,11.5
61,2023,1,1,Houston,92.31%,7.69%,15,UNC Asheville,0,4,15.6,-13.2,0.4708,-1.2,-5.5,-4.7,4.1,11.3,-1.3,-12.8,9,1.8,-6,-4.3,-2.7,-5.1,10.1
62,2023,1,1,Houston,77.90%,22.10%,16,Northern Kentucky,0,9,15.1,-12.4,0.4367,2.9,-8.8,-2.2,-1.2,5.8,-5.4,1.1,5,5.5,-5.8,-0.7,-8.9,1.4,14.9
63,2023,1,1,Houston,94.41%,5.59%,16,Texas A&M Corpus Chris,1,8,12.1,-17.5,0.4958,1.5,-9.9,-2.7,1.1,4.6,-0.5,-5.9,-2.8,4.2,-11,-2.4,-5.5,-5.9,14.3
64,2023,1,1,Houston,84.92%,15.08%,16,Howard,0,9,15,-16.7,0.5502,0.7,-8.1,-7.5,1.3,3.3,-4.2,-4.3,1.2,3.3,-7.7,-2.7,-5.8,-5.7,15.6
65,2023,1,1,Houston,91.99%,8.01%,16,Southeast Missouri State,-1,12,17.9,-18.4,0.6659,2.7,-9.1,-2,3,11.8,-0.5,-9.8,-7.8,3.2,-7.7,1.2,-7.5,-8.9,19.8
66,2023,1,1,Houston,96.53%,3.47%,16,Texas Southern,0,17,21.8,-15.4,0.6924,6.5,-6.8,-5,3.5,7.8,-0.3,-6.4,-2.3,5.8,-5.6,5.8,-5.8,-6.1,21.7
67,2023,1,1,Houston,83.54%,16.46%,16,Fairleigh Dickinson,0,12,12.3,-28.7,0.7444,1.2,-13.3,-1,0.6,5.7,-1.5,0.6,1,1.8,-13,0.1,-9.1,-5.5,20.6
68,2023,1,1,Alabama,42.12%,57.88%,1,Purdue,0,0,-2.5,-4.9,0.0179,0.5,-5.7,2,0.6,-4.5,4.3,-0.5,13.5,0.5,-6.2,1.2,-3.3,8.6,1.4
69,2023,1,1,Alabama,33.69%,66.31%,1,Kansas,0,2,3.3,-3,0.0403,0.3,-5.6,1.5,-4.2,5.4,-0.7,6.9,1.6,1.7,-6,-0.6,-3.1,3.6,0.1
70,2023,1,1,Alabama,18.15%,81.85%,2,UCLA,0,0,3.4,0.9,0.0102,1.8,-5.3,3.7,-7.6,0.1,0,9.6,5.2,4.2,-5.6,-0.9,-3,6.4,2.1
71,2023,1,1,Alabama,24.30%,75.70%,2,Texas,0,3,1.1,-2.9,0.0253,0,-6.3,2.5,-6.8,5.5,-1.8,5.2,-1.7,0.8,-6,-0.1,-4.6,3.9,2.6
72,2023,1,1,Alabama,41.79%,58.21%,2,Arizona,0,1,-3.5,-7.1,0.0292,-4.1,-5.7,0.6,-0.9,2.7,1.4,0.2,6.8,-2,-4.7,-4.4,-4.7,0.3,3.1
73,2023,1,1,Alabama,12.38%,87.62%,2,Marquette,0,1,-2,-7.7,0.0447,-3.3,-9.6,3.8,-6.8,7.3,-4.5,9.6,3.8,-4.2,-8.8,-1,-7.1,4.1,3.1
74,2023,1,1,Alabama,40.48%,59.52%,3,Gonzaga,1,1,-8.2,-10.3,0.0241,-5.8,-10.2,4.4,-2.8,2.7,1.6,2.5,6.1,-4.4,-10,-4.6,-6.9,2.7,3.5
75,2023,1,1,Alabama,79.07%,20.93%,3,Baylor,2,7,-6.1,-11.4,0.0477,-0.4,-9.9,0.9,-3.9,-0.9,-3.5,-0.5,1.4,3.8,-12.1,-3.4,-4.1,5.7,4.9
76,2023,1,1,Alabama,45.83%,54.17%,3,Xavier,0,4,-2.2,-10.3,0.0704,-2.9,-8.9,1.5,-0.5,2,2.2,5.9,5.7,0.6,-7.5,-5.7,-7.8,2.3,5.5
77,2023,1,1,Alabama,78.24%,21.76%,3,Kansas State,2,6,5.4,-4.3,0.0752,1.2,-6,-1,-4.7,2.7,-1.6,-0.3,-3.9,2.8,-7.6,-0.2,-2,2.7,5.9
78,2023,1,1,Alabama,35.52%,64.48%,4,Tennessee,1,6,4.6,1.2,0.0149,2.4,-0.9,0.9,-6.2,-3,0.7,5.8,-2.1,3.6,-3.4,0.9,1.9,7.1,7.5
79,2023,1,1,Alabama,39.69%,60.31%,4,Connecticut,1,4,-2.8,-4.7,0.0151,-0.8,-4,0.1,-3.4,-5.4,1.4,5.3,-5.9,1.2,-4.6,-1.9,-1.9,5.7,5.6
80,2023,1,1,Alabama,78.67%,21.33%,4,Virginia,2,4,6.5,-5.2,0.1002,1.4,-6.8,5.3,-3.7,8.3,2.6,2.2,6.7,4.2,-5.3,-1.5,-5.9,11.3,6.6
81,2023,1,1,Alabama,70.42%,29.58%,4,Indiana,1,7,3.4,-8,0.1023,-1.1,-5.8,2.1,-0.3,5.8,-0.3,6.6,2.2,1.4,-4.5,-3.2,-5.1,4.6,7.3
82,2023,1,1,Alabama,47.67%,52.33%,5,Saint Mary's,1,3,3.8,-1.2,0.0286,0.2,-5.2,2.6,-3,0.7,5.8,5.5,2.5,3.6,-4.4,-2.9,-4.7,10.6,6.7
83,2023,1,1,Alabama,63.21%,36.79%,5,San Diego State,1,2,4,-1.2,0.0298,2.6,-6,1.4,-3.6,2.1,1.8,2.4,3.4,5.2,-8.7,-0.6,-1.1,6.6,4.1
84,2023,1,1,Alabama,42.77%,57.23%,5,Duke,0,3,4.2,-4.9,0.0694,1.6,-4.8,0.8,-0.6,-2.4,1.7,5.9,8.7,3.2,-5.5,0.2,-2.3,7.5,6.3
85,2023,1,1,Alabama,71.99%,28.01%,5,Miami FL,2,4,-1.4,-13.3,0.1201,-2.3,-9.8,2.6,-2.1,1.8,-1.4,6.7,8.7,-0.3,-10.6,-3,-5.5,3.9,7.1
86,2023,1,1,Alabama,73.68%,26.32%,6,Creighton,1,8,2.4,-4.6,0.0496,-1.6,-5.8,2.4,1.7,8.3,4.3,8.6,13,0.1,-4.4,-2.2,-6,4.8,8.7
87,2023,1,1,Alabama,43.60%,56.40%,6,Iowa State,2,10,7.2,-2.2,0.0675,2,-8.6,-0.8,-9.1,-0.1,1,8.9,-7.2,3.9,-8.4,-0.1,-5.7,8.5,7.9
88,2023,1,1,Alabama,57.86%,42.14%,6,TCU,1,8,4.8,-5.2,0.0799,2.5,-6.3,1.9,-5.9,1.4,-3.1,2.8,3.1,2.7,-7.9,3.2,-2.3,2.9,8
89,2023,1,1,Alabama,82.90%,17.10%,6,Kentucky,2,8,0.2,-9.8,0.0895,1.5,-7.3,1.7,-0.8,-4.9,2.1,4.2,2.9,4.2,-7.1,-1.6,-5,6.7,8.6
90,2023,1,1,Alabama,54.21%,45.79%,7,Texas A&M,0,4,1.9,-5.7,0.0566,3.7,-6.4,0.7,-5.1,-2.9,-2.8,-9.2,-2.3,5.6,-6.2,1,-4.2,6.5,6.5
91,2023,1,1,Alabama,95.57%,4.43%,7,Michigan State,3,10,4,-7.1,0.0964,1.1,-6.6,2.6,1.3,6.4,2.4,10.9,4.2,6.9,-7.4,-5.7,-3.4,7.8,8.2
92,2023,1,1,Alabama,83.80%,16.20%,7,Northwestern,2,8,8.4,-4.1,0.1084,5.5,-6.9,4.2,-5.7,5.5,0.3,7,1.2,8.1,-5.4,1.7,-5.8,7.7,9.1
93,2023,1,1,Alabama,32.28%,67.72%,7,Missouri,1,5,-1.5,-15.2,0.1495,-2.4,-10.8,3,-8.3,7,-9.7,7.2,-2.4,-1.3,-10.5,-2.3,-7.3,3.4,6.6
94,2023,1,1,Alabama,38.66%,61.34%,8,Memphis,0,3,1.4,-5.9,0.0548,-0.5,-5.3,0.6,-4.9,2.8,-4.7,0.8,-2.1,1.5,-6,-1.8,-2.7,1.2,5.5
95,2023,1,1,Alabama,62.43%,37.57%,8,Arkansas,1,9,4.6,-3.9,0.0616,0.7,-5,0.7,-4.4,3.3,-0.6,-2.1,-6.1,0.8,-5.7,2.1,-2.5,3.1,9.7
96,2023,1,1,Alabama,65.29%,34.71%,8,Maryland,1,8,3.8,-7.1,0.0938,1.6,-6.4,2.8,-2.4,3.6,0.4,2.9,5,2.6,-6.5,0.8,-4,8,9.8
97,2023,1,1,Alabama,85.97%,14.03%,8,Iowa,2,10,-3.6,-15.3,0.12,0.8,-11.8,4.9,-2.5,1.6,0,4.1,9.4,2.5,-11.4,-0.5,-8.5,3.1,10.4
98,2023,1,1,Alabama,66.61%,33.39%,9,West Virginia,1,10,-0.4,-8.2,0.0628,1,-9.2,0.5,-4.9,0.1,-1.7,-3,-5.7,3.3,-9.3,-1,-6,4,8.8
99,2023,1,1,Alabama,83.34%,16.66%,9,Auburn,2,9,3.9,-5.4,0.0728,3.1,-4.1,0.9,-3.3,0.5,-4.4,1.2,-6.3,3.6,-5.7,2.4,-0.7,5,9.1
100,2023,1,1,Alabama,29.16%,70.84%,9,Florida Atlantic,0,-2,4.2,-7,0.0983,-2.3,-4.4,2.3,-2.3,3.4,3.1,7.2,6.1,0.3,-3.6,-3.4,-3.9,4.5,6.3
101,2023,1,1,Alabama,77.12%,22.88%,9,Illinois,2,9,6.9,-6.8,0.1323,1.1,-5.4,0.8,-2.6,1.5,0.8,2.9,3.2,-0.7,-4.1,2.9,-5.5,3,9.9
102,2023,1,1,Alabama,54.79%,45.21%,10,Utah State,0,3,-0.2,-9.1,0.0758,-2.9,-6.3,1.6,0.2,6.4,2.8,1.2,2.6,0.5,-4.7,-4.7,-6.2,3.9,6.7
103,2023,1,1,Alabama,68.89%,31.11%,10,Boise State,1,5,6.6,-4.9,0.0972,0.8,-5.8,2.3,-1.7,7.4,3.8,6,5.4,3.9,-6.6,-2.2,-2.9,6.2,7.7
104,2023,1,1,Alabama,87.43%,12.57%,10,USC,2,7,4.4,-8.6,0.1254,1.4,-3.7,0.9,-2.1,4.8,-5.4,2.9,3,3.5,-1.2,-0.7,-5.3,4.5,8.5
105,2023,1,1,Alabama,39.02%,60.98%,10,Penn State,-1,7,0.1,-12.5,0.1268,-2.8,-7.7,5.3,2.9,15,2.5,15.3,6.9,1.1,-7.6,-4.7,-5.2,8.1,9.2
106,2023,1,1,Alabama,61.16%,38.84%,11,North Carolina State,1,6,2.9,-10.7,0.1379,0.9,-8.3,5.4,-3.1,3.1,1,11.4,-1.2,3.1,-9.4,-1.1,-4.1,3.3,9.7
107,2023,1,1,Alabama,51.68%,48.32%,11,Mississippi State,1,8,12.9,-2.6,0.1515,5.8,-4.7,-0.3,-6,-1.4,-1.4,2.1,5.2,4.1,-5,7.2,-2.7,9,9.8
108,2023,1,1,Alabama,87.68%,12.32%,11,Providence,2,8,1.3,-12.9,0.1524,1.2,-8.5,2.1,-0.9,-1.4,0.9,-0.1,7.3,3.7,-8.4,-1.3,-5.8,5.7,9.6
109,2023,1,1,Alabama,90.18%,9.82%,11,Nevada,2,7,6.8,-8.1,0.1536,2.2,-7.5,3.8,-2.7,10.9,2.5,-2.8,1.4,4.3,-8.1,0,-4.4,6.7,9.2
110,2023,1,1,Alabama,58.62%,41.38%,11,Arizona State,0,7,10.5,-5.7,0.1717,5.2,-4.9,2.1,-4.6,4.2,-4.2,5.9,-0.6,6.7,-2.6,2.4,-5.5,4.3,9.3
111,2023,1,1,Alabama,71.24%,28.76%,11,Pittsburgh,1,7,3.1,-14.6,0.2156,-0.5,-7.7,2.6,-0.7,3.4,-0.6,4.3,2.2,1.9,-7.4,-2.2,-5.3,5.4,11.1
112,2023,1,1,Alabama,43.32%,56.68%,12,Drake,0,2,6.3,-7.3,0.1323,-0.4,-5.8,3.5,-1.7,9.5,5.2,7.9,6.1,2.7,-6.3,-2.9,-3.1,6.3,10.8
113,2023,1,1,Alabama,28.74%,71.26%,12,VCU,0,2,10.9,-4.6,0.1546,0.5,-5.5,-0.5,-8.1,4.8,-2.2,-5.1,2.3,2.3,-5,-0.9,-4.2,4.6,9.5
114,2023,1,1,Alabama,33.55%,66.45%,12,Oral Roberts,0,-1,3.5,-12.1,0.1733,-3.4,-7,5.8,-1.6,9.3,0.2,12.1,10.8,-2,-5.4,-3.2,-6.1,2.2,8.6
115,2023,1,1,Alabama,36.67%,63.33%,12,College of Charleston,0,-2,6.7,-9.4,0.1765,1.2,-6.4,2.3,-3.3,-1.3,2.1,4,8.1,1.7,-7.9,0.5,-2.2,1.5,8.8
116,2023,1,1,Alabama,33.13%,66.87%,13,Iona,0,2,7,-9.1,0.1752,0.9,-4.4,3.7,-4.9,1.8,-2.9,7.7,1.6,3.8,-5.8,-2.2,-1.1,4,12.1
117,2023,1,1,Alabama,26.93%,73.07%,13,Kent State,0,1,9.3,-7.8,0.1916,1.4,-5.7,2.7,-6.6,2.9,-2.6,4.7,-6,2.4,-6.6,0.6,-2.8,4.6,9.5
118,2023,1,1,Alabama,69.72%,30.28%,13,Louisiana Lafayette,1,3,4.6,-13.4,0.2206,-0.3,-9.1,1.5,-2.1,0,1.2,-1,-1,2.4,-8,-2.8,-7.8,4.2,10.9
119,2023,1,1,Alabama,26.41%,73.59%,13,Furman,0,2,3.2,-15.6,0.2393,-2.9,-9.1,3.2,-2.4,4.2,0.5,2,1,-4.5,-10,-0.6,-5,4.2,12.5
120,2023,1,1,Alabama,55.44%,44.56%,14,Montana State,0,4,11.4,-9,0.2644,1.8,-7.9,1.4,-4.1,8.1,2.1,-7.7,-2.7,2.2,-6.8,1.8,-6.7,6.3,13.2
121,2023,1,1,Alabama,49.63%,50.37%,14,Kennesaw State,0,3,10.6,-12,0.3224,-0.2,-9.7,1.1,-3.6,6.3,1.8,0.2,-3.4,3.3,-9.3,-3.3,-6.7,4.1,11.8
122,2023,1,1,Alabama,48.73%,51.27%,14,Grand Canyon,-1,5,5,-17.5,0.3257,-0.2,-5.7,0.6,1,3.3,-2.7,-1.1,-0.4,4.1,-5.6,-3.8,-3.9,7.7,14.1
123,2023,1,1,Alabama,35.13%,64.87%,14,UC Santa Barbara,0,2,6,-16.7,0.3308,-1.5,-8.3,2.2,-2.7,7.2,1.5,1.8,3.6,-0.2,-7.7,-1.3,-6.4,8,11.7
124,2023,1,1,Alabama,60.78%,39.22%,15,Vermont,1,6,6.6,-13.4,0.2627,-2.2,-9.2,4.8,-0.8,14.5,5.1,8.3,5.9,-0.9,-8.8,-2.4,-6.5,8,14.3
