YEAR,ROUND,HSEED,HTEAM,HSCORE,LSEED,LTEAM,LSCORE,SCORE_DIFF
2014,1,16,Albany,55,1,Florida,67,12
2014,1,16,Coastal Carolina,59,1,Virginia,70,11
2014,1,16,Cal Poly,37,1,Wichita State,64,27
2014,1,13,New Mexico State,69,4,San Diego State,73,4
2014,1,11,Dayton,60,6,Ohio State,59,-1
2014,1,12,Stephen F. Austin,77,5,VCU,75,-2
2014,1,9,Oklahoma State,77,8,Gonzaga,85,8
2014,1,14,Mercer,78,3,Duke,71,-7
2014,1,15,Eastern Kentucky,69,2,Kansas,80,11
2014,1,14,Louisiana Lafayette,66,3,Creighton,76,10
2014,1,16,Weber State,59,1,Arizona,68,9
2014,1,15,Milwaukee,53,2,Villanova,73,20
2014,1,12,North Dakota State,80,5,Oklahoma,75,-5
2014,1,11,Nebraska,60,6,Baylor,74,14
2014,1,14,Western Michigan,53,3,Syracuse,77,24
2014,1,14,North Carolina Central,75,3,Iowa State,93,18
2014,1,13,Manhattan,64,4,Louisville,71,7
2014,1,9,Pittsburgh,77,8,Colorado,48,-29
2014,1,10,Arizona State,85,7,Texas,87,2
2014,1,12,Harvard,61,5,Cincinnati,57,-4
2014,1,12,North Carolina State,80,5,Saint Louis,83,3
2014,1,10,BYU,68,7,Oregon,87,19
2014,1,11,Tennessee,86,6,Massachusetts,67,-19
2014,1,10,Saint Joseph's,81,7,Connecticut,89,8
2014,1,10,Stanford,58,7,New Mexico,53,-5
2014,2,12,Harvard,73,4,Michigan State,80,7
2014,2,6,North Carolina,83,3,Iowa State,85,2
2014,2,9,Pittsburgh,45,1,Florida,61,16
2014,2,8,Memphis,60,1,Virginia,78,18
2014,2,8,Kentucky,78,1,Wichita State,76,-2
2014,2,8,Gonzaga,61,1,Arizona,84,23
2014,2,6,Baylor,85,3,Creighton,55,-30
2014,2,7,Texas,65,2,Michigan,79,14
2014,2,5,Saint Louis,51,4,Louisville,66,15
2014,2,7,Oregon,77,2,Wisconsin,85,8
2014,2,12,North Dakota State,44,4,San Diego State,63,19
2014,2,14,Mercer,63,11,Tennessee,83,20
2014,2,7,Connecticut,77,2,Villanova,65,-12
2014,2,11,Dayton,55,3,Syracuse,53,-2
2014,2,10,Stanford,60,2,Kansas,57,-3
2014,2,12,Stephen F. Austin,60,4,UCLA,77,17
2015,1,12,Wofford,53,5,Arkansas,56,3
2015,1,16,Coastal Carolina,72,1,Wisconsin,86,14
2015,1,13,Valparaiso,62,4,Maryland,65,3
2015,1,14,Northeastern,65,3,Notre Dame,69,4
2015,1,16,Hampton,56,1,Kentucky,79,23
2015,1,13,Harvard,65,4,North Carolina,67,2
2015,1,10,Georgia,63,7,Michigan State,70,7
2015,1,15,Belmont,67,2,Virginia,79,12
2015,1,10,Indiana,76,7,Wichita State,81,5
2015,1,9,Saint John's,64,8,San Diego State,76,12
2015,1,10,Ohio State,75,7,VCU,72,-3
2015,1,15,North Dakota State,76,2,Gonzaga,86,10
2015,1,16,Robert Morris,56,1,Duke,85,29
2015,1,15,New Mexico State,56,2,Kansas,75,19
2015,1,15,Texas Southern,72,2,Arizona,93,21
2015,1,16,Lafayette,52,1,Villanova,93,41
2015,1,14,Albany,60,3,Oklahoma,69,9
2015,1,14,Georgia State,57,3,Baylor,56,-1
2015,1,9,LSU,65,8,North Carolina State,66,1
2015,1,14,UAB,60,3,Iowa State,59,-1
2015,1,13,UC Irvine,55,4,Louisville,57,2
2015,1,9,Purdue,65,8,Cincinnati,66,1
2015,1,13,Eastern Washington,74,4,Georgetown,84,10
2015,1,12,Wyoming,54,5,Northern Iowa,71,17
2015,1,11,Mississippi,57,6,Xavier,76,19
2015,1,10,Davidson,52,7,Iowa,83,31
2015,1,11,UCLA,60,6,SMU,59,-1
2015,1,9,Oklahoma State,73,8,Oregon,79,6
2015,1,12,Stephen F. Austin,50,5,Utah,57,7
2015,1,11,Dayton,66,6,Providence,53,-13
2015,1,12,Buffalo,62,5,West Virginia,68,6
2015,1,11,Texas,48,6,Butler,56,8
2015,2,5,Arkansas,78,4,North Carolina,87,9
2015,2,8,Oregon,65,1,Wisconsin,72,7
2015,2,5,West Virginia,69,4,Maryland,59,-10
2015,2,8,Cincinnati,51,1,Kentucky,64,13
2015,2,7,Michigan State,60,2,Virginia,54,-6
2015,2,14,UAB,75,11,UCLA,92,17
2015,2,7,Wichita State,78,2,Kansas,65,-13
2015,2,10,Ohio State,58,2,Arizona,73,15
2015,2,8,San Diego State,49,1,Duke,68,19
2015,2,8,North Carolina State,71,1,Villanova,68,-3
2015,2,5,Northern Iowa,53,4,Louisville,66,13
2015,2,14,Georgia State,67,6,Xavier,75,8
2015,2,7,Iowa,68,2,Gonzaga,87,19
2015,2,5,Utah,75,4,Georgetown,64,-11
2015,2,11,Dayton,66,3,Oklahoma,72,6
2015,2,6,Butler,64,3,Notre Dame,67,3
2016,1,14,Stephen F. Austin,70,3,West Virginia,56,-14
2016,1,12,South Dakota State,74,5,Maryland,79,5
2016,1,11,Michigan,63,6,Notre Dame,70,7
2016,1,13,Stony Brook,57,4,Kentucky,85,28
2016,1,16,Florida Gulf Coast,67,1,North Carolina,83,16
2016,1,15,Middle Tennessee,90,2,Michigan State,81,-9
2016,1,12,Chattanooga,74,5,Indiana,99,25
2016,1,13,Iona,81,4,Iowa State,94,13
2016,1,16,Hampton,45,1,Virginia,81,36
2016,1,10,VCU,75,7,Oregon State,67,-8
2016,1,11,Northern Iowa,75,6,Texas,72,-3
2016,1,13,UNC Wilmington,85,4,Duke,93,8
2016,1,16,Austin Peay,79,1,Kansas,105,26
2016,1,10,Pittsburgh,43,7,Wisconsin,47,4
2016,1,14,Buffalo,72,3,Miami FL,79,7
2016,1,11,Wichita State,65,6,Arizona,55,-10
2016,1,15,UNC Asheville,56,2,Villanova,86,30
2016,1,15,Cal State Bakersfield,68,2,Oklahoma,82,14
2016,1,9,Connecticut,74,8,Colorado,67,-7
2016,1,12,Arkansas Little Rock,85,5,Purdue,83,-2
2016,1,14,Green Bay,65,3,Texas A&M,92,27
2016,1,15,Weber State,53,2,Xavier,71,18
2016,1,9,Butler,71,8,Texas Tech,61,-10
2016,1,10,Temple,70,7,Iowa,72,2
2016,1,16,Holy Cross,52,1,Oregon,91,39
2016,1,9,Cincinnati,76,8,Saint Joseph's,78,2
2016,1,14,Fresno State,69,3,Utah,80,11
2016,1,13,Hawaii,77,4,UC Berkeley,66,-11
2016,1,9,Providence,70,8,USC,69,-1
2016,1,10,Syracuse,70,7,Dayton,51,-19
2016,1,12,Yale,79,5,Baylor,75,-4
2016,1,11,Gonzaga,68,6,Seton Hall,52,-16
2016,2,13,Hawaii,60,5,Maryland,73,13
2016,2,14,Stephen F. Austin,75,6,Notre Dame,76,1
2016,2,9,Providence,66,1,North Carolina,85,19
2016,2,5,Indiana,73,4,Kentucky,67,-6
2016,2,9,Butler,69,1,Virginia,77,8
2016,2,11,Wichita State,57,3,Miami FL,65,8
2016,2,11,Gonzaga,82,3,Utah,59,-23
2016,2,9,Connecticut,61,1,Kansas,73,12
2016,2,7,Iowa,68,2,Villanova,87,19
2016,2,10,VCU,81,2,Oklahoma,85,4
2016,2,15,Middle Tennessee,50,10,Syracuse,75,25
2016,2,11,Northern Iowa,88,3,Texas A&M,92,4
2016,2,7,Wisconsin,66,2,Xavier,63,-3
2016,2,8,Saint Joseph's,64,1,Oregon,69,5
2016,2,12,Yale,64,4,Duke,71,7
2016,2,12,Arkansas Little Rock,61,4,Iowa State,78,17
2017,1,9,Seton Hall,71,8,Arkansas,77,6
2017,1,13,Bucknell,80,4,West Virginia,86,6
2017,1,10,Oklahoma State,91,7,Michigan,92,1
2017,1,11,Xavier,76,6,Maryland,65,-11
2017,1,12,Princeton,58,5,Notre Dame,60,2
2017,1,15,Northern Kentucky,70,2,Kentucky,79,9
2017,1,16,Texas Southern,64,1,North Carolina,103,39
2017,1,14,Kent State,80,3,UCLA,97,17
2017,1,12,Nevada,73,5,Iowa State,84,11
2017,1,12,UNC Wilmington,71,5,Virginia,76,5
2017,1,14,Florida Gulf Coast,80,3,Florida State,86,6
2017,1,16,South Dakota State,46,1,Gonzaga,66,20
2017,1,15,Troy,65,2,Duke,87,22
2017,1,16,UC Davis,62,1,Kansas,100,38
2017,1,11,Rhode Island,84,6,Creighton,72,-12
2017,1,9,Michigan State,78,8,Miami FL,58,-20
2017,1,15,North Dakota,82,2,Arizona,100,18
2017,1,10,VCU,77,7,Saint Mary’s,85,8
2017,1,16,Mount Saint Mary’s,56,1,Villanova,76,20
2017,1,14,New Mexico State,73,3,Baylor,91,18
2017,1,15,Jacksonville State,63,2,Louisville,78,15
2017,1,10,Marquette,73,7,South Carolina,93,20
2017,1,11,Kansas State,61,6,Cincinnati,75,14
2017,1,13,Vermont,70,4,Purdue,80,10
2017,1,14,Iona,77,3,Oregon,93,16
2017,1,13,East Tennessee State,65,4,Florida,80,15
2017,1,10,Wichita State,64,7,Dayton,58,-6
2017,1,12,Middle Tennessee,81,5,Minnesota,72,-9
2017,1,13,Winthrop,64,4,Butler,76,12
2017,1,9,Virginia Tech,74,8,Wisconsin,84,10
2017,1,11,USC,66,6,SMU,65,-1
2017,1,9,Vanderbilt,66,8,Northwestern,68,2
2017,2,7,Michigan,73,2,Louisville,69,-4
2017,2,5,Notre Dame,71,4,West Virginia,83,12
2017,2,8,Arkansas,65,1,North Carolina,72,7
2017,2,5,Iowa State,76,4,Purdue,80,4
2017,2,5,Virginia,39,4,Florida,65,26
2017,2,10,Wichita State,62,2,Kentucky,65,3
2017,2,8,Northwestern,73,1,Gonzaga,79,6
2017,2,9,Michigan State,70,1,Kansas,90,20
2017,2,7,Saint Mary’s,60,2,Arizona,69,9
2017,2,8,Wisconsin,65,1,Villanova,62,-3
2017,2,7,South Carolina,88,2,Duke,81,-7
2017,2,6,Cincinnati,67,3,UCLA,79,12
2017,2,11,Xavier,91,3,Florida State,66,-25
2017,2,12,Middle Tennessee,65,4,Butler,74,9
2017,2,11,USC,78,3,Baylor,82,4
2017,2,11,Rhode Island,72,3,Oregon,75,3
2018,1,10,Butler,79,7,Arkansas,62,-17
2018,1,12,Murray State,68,5,West Virginia,85,17
2018,1,14,Montana,47,3,Michigan,61,14
2018,1,12,Davidson,73,5,Kentucky,78,5
2018,1,15,Lipscomb,66,2,North Carolina,84,18
2018,1,14,Bucknell,78,3,Michigan State,82,4
2018,1,16,UMBC,74,1,Virginia,54,-20
2018,1,13,Marshall,81,4,Wichita State,75,-6
2018,1,13,UNC Greensboro,64,4,Gonzaga,68,4
2018,1,15,Iona,67,2,Duke,89,22
2018,1,16,Penn,60,1,Kansas,76,16
2018,1,9,Kansas State,69,8,Creighton,59,-10
2018,1,11,Syracuse,52,6,TCU,57,5
2018,1,11,Loyola Chicago,64,6,Miami FL,62,-2
2018,1,13,Buffalo,89,4,Arizona,68,-21
2018,1,16,Radford,61,1,Villanova,87,26
2018,1,9,Alabama,86,8,Virginia Tech,83,-3
2018,1,12,New Mexico State,68,5,Clemson,79,11
2018,1,14,Wright State,47,3,Tennessee,73,26
2018,1,15,Georgia State,53,2,Cincinnati,68,15
2018,1,13,College of Charleston,58,4,Auburn,62,4
2018,1,15,Cal State Fullerton,48,2,Purdue,74,26
2018,1,10,Providence,69,7,Texas A&M,73,4
2018,1,16,Texas Southern,83,1,Xavier,102,19
2018,1,11,San Diego State,65,6,Houston,67,2
2018,1,10,Texas,83,7,Nevada,87,4
2018,1,9,Florida State,67,8,Missouri,54,-13
2018,1,11,Saint Bonaventure,62,6,Florida,77,15
2018,1,12,South Dakota State,73,5,Ohio State,81,8
2018,1,14,Stephen F. Austin,60,3,Texas Tech,70,10
2018,1,9,North Carolina State,83,8,Seton Hall,94,11
2018,1,10,Oklahoma,78,7,Rhode Island,83,5
2018,2,13,Buffalo,75,5,Kentucky,95,20
2018,2,9,Florida State,75,1,Xavier,70,-5
2018,2,8,Seton Hall,79,1,Kansas,83,4
2018,2,9,Alabama,58,1,Villanova,81,23
2018,2,11,Syracuse,55,3,Michigan State,53,-2
2018,2,5,Clemson,84,4,Auburn,53,-31
2018,2,7,Texas A&M,86,2,North Carolina,65,-21
2018,2,6,Houston,63,3,Michigan,64,1
2018,2,7,Nevada,75,2,Cincinnati,73,-2
2018,2,6,Florida,66,3,Texas Tech,69,3
2018,2,5,Ohio State,84,4,Gonzaga,90,6
2018,2,7,Rhode Island,62,2,Duke,87,25
2018,2,16,UMBC,43,9,Kansas State,50,7
2018,2,11,Loyola Chicago,63,3,Tennessee,62,-1
2018,2,13,Marshall,71,5,West Virginia,94,23
2018,2,10,Butler,73,2,Purdue,76,3
2019,1,12,Liberty,80,5,Mississippi State,76,-4
2019,1,15,Montana,55,2,Michigan,74,19
2019,1,15,Abilene Christian,44,2,Kentucky,79,35
2019,1,16,Iona,73,1,North Carolina,88,15
2019,1,15,Bradley,65,2,Michigan State,76,11
2019,1,11,Ohio State,62,6,Iowa State,59,-3
2019,1,16,Gardner Webb,56,1,Virginia,71,15
2019,1,13,Vermont,69,4,Florida State,76,7
2019,1,16,Fairleigh Dickinson,49,1,Gonzaga,87,38
2019,1,16,North Dakota State,62,1,Duke,85,23
2019,1,13,Northeastern,53,4,Kansas,87,34
2019,1,11,Saint Mary’s,57,6,Villanova,61,4
2019,1,13,Saint Louis,52,4,Virginia Tech,66,14
2019,1,11,Belmont,77,6,Maryland,79,2
2019,1,13,UC Irvine,70,4,Kansas State,64,-6
2019,1,9,Baylor,78,8,Syracuse,69,-9
2019,1,15,Colgate,70,2,Tennessee,77,7
2019,1,10,Iowa,79,7,Cincinnati,72,-7
2019,1,12,New Mexico State,77,5,Auburn,78,1
2019,1,14,Old Dominion,48,3,Purdue,61,13
2019,1,10,Minnesota,86,7,Louisville,76,-10
2019,1,10,Seton Hall,68,7,Wofford,84,16
2019,1,9,Oklahoma,95,8,Mississippi,72,-23
2019,1,14,Georgia State,55,3,Houston,84,29
2019,1,11,Arizona State,74,6,Buffalo,91,17
2019,1,14,Yale,74,3,LSU,79,5
2019,1,12,Oregon,72,5,Wisconsin,54,-18
2019,1,14,Northern Kentucky,57,3,Texas Tech,72,15
2019,1,10,Florida,70,7,Nevada,61,-9
2019,1,12,Murray State,83,5,Marquette,64,-19
2019,1,9,Washington,78,8,Utah State,61,-17
2019,1,9,UCF,73,8,VCU,58,-15
2019,2,10,Florida,49,2,Michigan,64,15
2019,2,9,Washington,59,1,North Carolina,81,22
2019,2,9,Oklahoma,51,1,Virginia,63,12
2019,2,9,Baylor,71,1,Gonzaga,83,12
2019,2,9,UCF,76,1,Duke,77,1
2019,2,12,Liberty,58,4,Virginia Tech,67,9
2019,2,5,Auburn,89,4,Kansas,75,-14
2019,2,6,Villanova,61,3,Purdue,87,26
2019,2,7,Wofford,56,2,Kentucky,62,6
2019,2,10,Iowa,77,2,Tennessee,83,6
2019,2,11,Ohio State,59,3,Houston,74,15
2019,2,10,Minnesota,50,2,Michigan State,70,20
2019,2,13,UC Irvine,73,12,Oregon,54,-19
2019,2,6,Maryland,67,3,LSU,69,2
2019,2,6,Buffalo,58,3,Texas Tech,78,20
2019,2,12,Murray State,62,4,Florida State,90,28
2021,1,15,Cleveland State,56,2,Houston,87,31
2021,1,10,Rutgers,60,7,Clemson,56,-4
2021,1,14,Morehead State,67,3,West Virginia,84,17
2021,1,11,Syracuse,78,6,San Diego State,62,-16
2021,1,13,Liberty,60,4,Oklahoma State,69,9
2021,1,12,Oregon State,70,5,Tennessee,56,-14
2021,1,9,Georgia Tech,60,8,Loyola Chicago,71,11
2021,1,16,Drexel,49,1,Illinois,78,29
2021,1,15,Oral Roberts,75,2,Ohio State,72,-3
2021,1,10,Virginia Tech,70,7,Florida,75,5
2021,1,14,Colgate,68,3,Arkansas,85,17
2021,1,11,Utah State,53,6,Texas Tech,65,12
2021,1,13,North Texas,78,4,Purdue,69,-9
2021,1,12,Winthrop,63,5,Villanova,73,10
2021,1,9,Wisconsin,85,8,North Carolina,62,-23
2021,1,16,Hartford,55,1,Baylor,79,24
2021,1,15,Iona,55,2,Alabama,68,13
2021,1,10,Maryland,63,7,Connecticut,54,-9
2021,1,14,Abilene Christian,53,3,Texas,52,-1
2021,1,11,UCLA,73,6,BYU,62,-11
2021,1,13,UNC Greensboro,54,4,Florida State,64,10
2021,1,12,Georgetown,73,5,Colorado,96,23
2021,1,9,Saint Bonaventure,61,8,LSU,76,15
2021,1,16,Texas Southern,66,1,Michigan,82,16
2021,1,15,Grand Canyon,74,2,Iowa,86,12
2021,1,14,Eastern Washington,84,3,Kansas,93,9
2021,1,11,Drake,56,6,USC,72,16
2021,1,13,Ohio,62,4,Virginia,58,-4
2021,1,12,UC Santa Barbara,62,5,Creighton,63,1
2021,1,9,Missouri,68,8,Oklahoma,72,4
2021,1,16,Norfolk State,55,1,Gonzaga,98,43
2021,2,10,Rutgers,60,2,Houston,63,3
2021,2,11,Syracuse,75,3,West Virginia,72,-3
2021,2,12,Oregon State,80,4,Oklahoma State,70,-10
2021,2,8,Loyola Chicago,71,1,Illinois,58,-13
2021,2,15,Oral Roberts,81,7,Florida,78,-3
2021,2,6,Texas Tech,66,3,Arkansas,68,2
2021,2,13,North Texas,61,5,Villanova,84,23
2021,2,9,Wisconsin,63,1,Baylor,76,13
2021,2,10,Maryland,77,2,Alabama,96,19
2021,2,14,Abilene Christian,47,11,UCLA,67,20
2021,2,5,Colorado,53,4,Florida State,71,18
2021,2,8,LSU,78,1,Michigan,86,8
2021,2,7,Oregon,95,2,Iowa,80,-15
2021,2,6,USC,85,3,Kansas,51,-34
2021,2,13,Ohio,58,5,Creighton,72,14
2021,2,8,Oklahoma,71,1,Gonzaga,87,16
