TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR
Syracuse,BE,40,30,113,87,0.9533,49,42.6,18.9,23.6,38.8,34.5,36.8,35.4,48.5,42.6,33.4,28.4,65.4,5.1,F4,4,2013
Saint Louis,A10,35,28,108,87.5,0.9181,50.4,45.5,17.6,23.6,27.9,29.1,44,35,50,44.1,34,33.1,64.7,3.8,R32,4,2013
Kansas State,B12,34,26,113.4,94.5,0.8896,49.1,47.5,18.2,22.2,38.5,33.8,31.7,36.8,46.8,46.5,35.8,33.3,63,5.4,R64,4,2013
VCU,A10,36,27,113.8,92.1,0.9195,51.3,49.9,16.9,28.5,36.6,34.7,29.8,40.3,50.5,50.1,35.1,32.9,68.1,2.6,R32,5,2013
Wisconsin,B10,35,23,107.2,84.3,0.9406,48.6,43,15.7,18,32.6,26.9,29.7,25.7,48,42.8,33,28.9,61.9,4.6,R64,5,2013
Oklahoma State,B12,33,24,107.1,88.6,0.8983,48.8,44.5,18.2,21.7,31.3,30.8,40.5,35.1,49.5,42.4,31.6,32.4,67.3,3.2,R64,5,2013
UNLV,MWC,34,24,104.7,88.4,0.8749,48.9,44.1,20.2,18.5,33.3,27.1,36.7,29.6,48.9,42.6,32.6,31.6,69.3,1.8,R64,5,2013
Butler,A10,35,26,109.2,93,0.8624,50.7,46.7,20.2,17.4,35.9,26.3,38.4,36.1,50.2,45.3,34.3,33.2,64.7,4.7,R32,6,2013
Memphis,CUSA,36,31,106.1,90.2,0.8672,52.4,45.5,20.7,22.1,35.6,31.1,37.2,34.9,51.1,43.8,37.2,33,69.3,4.5,R32,6,2013
UCLA,P12,35,25,110,94.8,0.8475,49.1,47.5,15.8,19.9,30.7,34,33.1,24.6,48.9,46.9,33.3,32.4,69.6,3.3,R64,6,2013
Arizona,P12,35,27,114.4,92.2,0.9229,52.5,46.6,19.5,19.8,35,26.7,37.4,32.9,50.6,43.4,37.1,35.8,66.8,4.6,S16,6,2013
San Diego State,MWC,32,21,106,89.5,0.8752,48.5,44.7,18.1,18.2,31.8,27.9,35.3,28.9,48.3,43.3,32.7,31.8,66.8,0.4,R32,7,2013
Illinois,B10,34,21,109.8,92.7,0.8749,47.5,48.7,17.6,21.7,33.6,33,31,36,47.4,47.4,31.7,34.1,66.1,2.4,R32,7,2013
Creighton,MVC,36,28,116.4,95,0.9117,58.2,45.9,18.9,16.1,28.8,27.2,34.2,26.1,55.7,45.5,41.4,31.2,65.2,3.5,R32,7,2013
Notre Dame,BE,35,25,112.9,95.4,0.8748,52.2,46.8,17.6,16,34,29.5,32,24.6,50.6,45.9,37,32.5,61.7,3.9,R64,7,2013
Colorado State,MWC,33,24,116.6,98.4,0.8759,49.2,48.6,17.2,16.5,41.4,23.2,44.1,36.4,48.4,47.1,34.1,34.1,64.8,1.9,R32,8,2013
North Carolina,ACC,35,24,111.6,93,0.8902,49.3,48,17.2,21.5,34.6,31.6,28.2,27.1,46.3,46.3,37.2,34.4,71.4,2.5,R32,8,2013
Pittsburgh,BE,33,24,112.8,91.1,0.9217,51.7,44.6,18.1,22,40.4,30,37.5,36.4,51.5,44,34.9,30.4,60.3,3.1,R64,8,2013
North Carolina State,ACC,35,24,115.2,98,0.865,54.2,46.8,18,16.6,34.7,32.6,40.9,29,52.8,47.5,39.1,30.2,68.1,2.2,R64,8,2013
Wichita State,MVC,39,30,110.6,91,0.9045,50,45.3,19.4,20,38,26.5,36.5,38.3,49.6,43.6,33.9,32.2,65,2.2,F4,9,2013
Temple,A10,34,24,110.7,96.9,0.822,49,49,15.9,20.1,30.8,31.4,35.6,34.1,48.8,47.3,32.8,35.3,66.8,1.5,R32,9,2013
Villanova,BE,33,19,105.3,90.5,0.8507,47.3,47.3,22.9,22,33.1,29.5,50.6,40.9,46,42.4,33.2,37.3,67.7,0.3,R64,9,2013
Missouri,SEC,34,23,113.3,95.2,0.8815,51.2,46.1,18.9,17.6,38.7,28.6,35,29.7,51.4,44.1,33.9,33.2,67.7,1.2,R64,9,2013
Iowa State,B12,35,23,117.2,98.3,0.8828,53.8,48,18.5,18.6,34.2,28.5,33,32.7,51.9,48.8,37.4,31.1,69.6,0.7,R32,10,2013
Oklahoma,B12,32,20,110.3,95.6,0.8391,47.8,47.4,17.5,19.6,33.2,31.5,35.4,31.4,47.6,46.4,32.3,32.9,66.7,0.3,R64,10,2013
Colorado,P12,33,21,104.9,90.2,0.8513,48.3,45.9,20,19.4,33.6,30.4,40.9,25.3,47,44.7,34.4,32,65.5,1.4,R64,10,2013
Cincinnati,BE,34,22,104.5,88.3,0.873,46.2,43.3,19.4,20.3,38.7,29.8,35.5,32.7,45.5,42.3,31.6,30.4,65.5,1.7,R64,10,2013
Minnesota,B10,34,21,112.6,92.5,0.905,49.3,45.6,21.6,20.2,43.6,33.2,41.6,36.7,48.8,42.8,33.7,33.9,64.1,2.1,R32,11,2013
Belmont,OVC,31,24,108.9,96.2,0.8064,56.5,48,19.6,25,29.7,34.2,32.8,37,56.9,46.7,37.2,33.5,67.4,0.1,R64,11,2013
Bucknell,Pat,33,27,104.7,93.1,0.7936,49.6,42.5,15.1,14.1,29.3,24.3,35.7,29.4,48.3,41.1,35.8,30.5,63.4,1,R64,11,2013
Saint Mary’s,WCC,34,27,113.9,94.9,0.891,53.7,47.1,18.3,17.9,36.9,25,37,36.9,52.3,44,37.3,36.7,64.8,2.5,R64,11,2013
UC Berkeley,P12,33,21,105.4,92.3,0.8211,48,44.3,18.9,16.8,32.5,30.7,31.2,32.5,48.8,41.7,30.2,33.6,66.5,0.5,R32,12,2013
Mississippi,SEC,36,27,110,95.6,0.834,49.1,46.4,15.9,21.5,34.1,31.8,38.8,31.1,49.4,46.2,32.4,31.3,70.9,1.6,R32,12,2013
Akron,MAC,32,25,103.4,94.4,0.7402,51,44.6,20.8,20.2,37.6,30.5,36.9,35,52.1,42.7,32.7,32.8,66.5,0.3,R64,12,2013
Oregon,P12,37,28,104.8,88.6,0.8728,49.3,46.4,21.4,22,35.8,27.2,38.4,33.3,49.1,44.9,33.3,33.4,69.2,2.9,S16,12,2013
South Dakota State,Sum,32,22,109.7,103.7,0.6573,53.3,51.2,16.4,17.1,28.9,26.1,33,24.4,50.4,49.8,38.9,35.8,64,-3.2,R64,13,2013
Montana,BSky,30,23,101.6,101.8,0.4929,52.9,48.6,19.1,18.3,25.1,30.5,40.6,35.9,52,48,36.4,33.3,63.9,-1.4,R64,13,2013
New Mexico State,WAC,34,23,102.5,95.3,0.6992,49.3,45.4,21.9,18.6,36.9,29.8,47,30.7,49.8,43.2,31.8,33.9,65.1,-3.1,R64,13,2013
La Salle,A10,34,24,112,96.2,0.8516,51.9,49.3,17.1,21.3,29,34.2,31.3,28.5,49.3,50.6,37.7,30.2,66,0.3,S16,13,2013
Harvard,Ivy,29,19,104.9,99.9,0.6362,54.3,49.2,20.8,20.9,25.6,31.4,49.6,31.2,51.5,48.9,39.8,33.3,64.7,-2.6,R32,14,2013
Northwestern State,Slnd,28,19,104.8,102.1,0.573,49,47.8,19.2,21.7,34.8,37.3,40.3,40.5,50,46.8,31,33.9,73,-3.2,R64,14,2013
Davidson,SC,33,25,110.6,98.3,0.7959,53.1,45.3,17,18.8,29,28.5,38.9,36.4,52,44.3,36.6,32.1,65.2,-1.4,R64,14,2013
Valparaiso,Horz,33,25,107.8,97.9,0.7514,55.7,46.2,21.8,19.5,31.2,28.2,41.7,36.8,55.7,44.5,37.1,33.8,65.6,-0.8,R64,14,2013
Pacific,BW,33,20,104.7,101.1,0.5991,50.5,50,17.8,20,29.2,30.8,37.7,39.3,46.8,48,38.9,35.4,63.4,-5.1,R64,15,2013
Iona,MAAC,34,20,112.8,105,0.6956,52.1,51.6,17.1,19.3,32.8,33.4,32.7,32.2,50.4,49.1,36.7,37.5,71.3,-5.9,R64,15,2013
Albany,AE,35,24,101.2,98.7,0.5722,49.6,48.3,21.2,19.9,31.7,28.2,40,27.8,46.7,47.6,37,33.1,63.2,-4.5,R64,15,2013
Florida Gulf Coast,ASun,35,24,103.4,96.3,0.6952,51.6,46.9,21,22.1,32.5,32.8,35.2,32.7,52.3,46.9,33.4,31.3,69.1,-4,S16,15,2013
Western Kentucky,SB,35,19,100.1,100.4,0.4895,48.6,47.9,22.2,20.8,34.8,30.7,37.6,37.8,48.3,47.6,32.7,32.4,66,-8.4,R64,16,2013
North Carolina A&T,MEAC,36,19,90.6,95.7,0.3459,45.7,45.2,22.7,23.4,29.8,33.2,42.6,41.1,45.4,43.4,30.7,32,66.9,-11.5,R64,16,2013
Southern,SWAC,30,20,95.9,96.7,0.475,49.1,41.9,16.8,20.2,26.2,31.1,40.3,34.9,46,40.5,36.7,30,65,-5.7,R64,16,2013
James Madison,CAA,36,21,98.5,99.4,0.4736,47.6,48.7,17.2,21.1,29.6,31.1,36.8,39.2,46.2,46.9,33.6,34.7,64.2,-8.9,R64,16,2013
Arizona,P12,38,33,116.2,87.4,0.9636,51.7,42.3,15.7,19.1,36.4,27.3,41,34.2,50.7,40.2,36.4,32,64.3,9.4,E8,1,2014
Florida,SEC,39,36,115.9,88.4,0.9575,52.2,45.4,17.5,21.3,35.3,28,42.4,31.2,51.3,43.5,35.9,33,63.1,11.7,F4,1,2014
Wichita State,MVC,35,34,116.4,93,0.9295,52.4,44.7,16.2,18.2,35,26.2,46.9,35.7,52.3,43.6,35,31.1,65.1,8.1,R32,1,2014
Virginia,ACC,37,30,114.6,89.5,0.9449,50.8,44.2,16.5,18.4,33.9,25.8,42,32.5,49,42.1,36.9,32.3,61.2,8.2,S16,1,2014
Michigan,B10,37,28,125,99.9,0.9295,55.7,49.4,14.8,17.1,29.4,30.5,34.9,26.7,52.7,50.2,40.2,31.8,62.6,7.7,E8,2,2014
Wisconsin,B10,38,30,122.7,95.9,0.9441,53.3,47.2,12.7,15.3,28.1,27.4,42.7,27.1,51.3,45.9,37.6,34.1,63.9,7.9,F4,2,2014
Kansas,B12,35,25,119.2,95.6,0.927,54.2,47.1,19.1,16.4,37.3,28.8,48.3,45.5,55.5,44.3,34,35.5,68.2,6.9,R32,2,2014
Villanova,BE,34,29,115.2,92.5,0.926,53.6,46.3,17.3,20,32.6,28.7,44.5,38.6,53.8,43,35.6,35.3,67.6,8.3,R32,2,2014
Creighton,BE,35,27,125.2,101.9,0.9144,58.9,48.5,15,14.8,27.7,27.8,33.9,33,56.3,47,41.4,34.2,65.4,5.6,R32,3,2014
Syracuse,ACC,34,28,114.2,92.8,0.9156,48.2,48,14.8,21.9,38.1,31.5,38.2,36.7,47.7,45.5,33.1,34.5,61.5,7.9,R32,3,2014
Duke,ACC,35,26,125.9,98.6,0.9432,53.8,49.3,14.6,18.5,35.2,31.3,38.8,40.8,50.3,50.3,39.5,30.7,66.7,6.5,R64,3,2014
Iowa State,B12,36,28,118.6,98.8,0.8903,54.2,47.7,14.5,15.9,28.8,28.5,36.4,30.7,54.4,46,35.8,34.1,71.6,7.5,S16,3,2014
Michigan State,B10,38,29,119.6,95.3,0.9319,54.5,45.8,17.4,17.7,32.9,27.5,33.7,40.3,52.1,43.5,39.2,33.2,66.2,6.9,E8,4,2014
Louisville,Amer,37,31,118.8,87.6,0.971,53.5,43.9,15.3,25,37.1,32.7,41.2,38.4,52.7,44.3,36.8,28.6,68.8,5.3,S16,4,2014
San Diego State,MWC,34,29,109.4,90.7,0.896,46.7,44.4,15.2,20.6,36.1,29.4,45.1,32.4,45.1,43.5,34.2,30.8,64,6,S16,4,2014
UCLA,P12,37,28,119,96.6,0.9167,54.1,49.9,14.5,20.3,29.8,28.6,38.2,35.7,53,48.6,38,34.4,70.2,4.5,S16,4,2014
Saint Louis,A10,33,26,104.9,90.4,0.8477,49.6,44.4,18.6,21,28.8,29,40.3,35.6,50.5,44.4,31.7,29.6,67.5,3.8,R32,5,2014
Cincinnati,Amer,34,27,108.7,91.5,0.8783,47.7,44.8,17.4,22.4,39.1,32.3,38.7,36,46.6,43.2,33.5,32,63.5,5.3,R64,5,2014
Oklahoma,B12,33,23,118.2,99.4,0.8793,51.7,49.7,15.7,17.8,32.4,30.4,39.4,38.5,48.7,48.8,37.9,34.2,71.6,4.1,R64,5,2014
VCU,A10,35,26,108.3,89.8,0.8955,47.9,47.8,17.2,25.6,34.9,30.8,35.2,39.7,45.6,48.8,34.9,30.3,70.8,3.6,R64,5,2014
North Carolina,ACC,34,24,113.4,94.7,0.8883,49.9,47,16.9,19.3,38.1,31.3,42.9,41.4,49.7,46.7,33.6,31.7,70.8,4.2,R32,6,2014
Massachusetts,A10,33,24,109,96.9,0.7952,50.4,46.6,18.8,18.7,34.3,31.7,39.2,37.2,49.9,46.8,34.6,30.8,71.8,3.6,R64,6,2014
Ohio State,B10,35,25,108.4,88.5,0.9107,50.3,45.2,17.2,21.9,29.6,29.6,42.3,29.8,51.1,45.9,32.4,29.3,65.4,4.5,R64,6,2014
Baylor,B12,36,24,119.2,99.5,0.8885,51.3,48.7,17.8,15.8,40.1,32,44.8,32.3,48.3,46.4,38,35.6,62.9,3.1,S16,6,2014
Connecticut,Amer,40,32,112.5,91.3,0.9171,51.5,44.6,17.3,19.6,30.4,32.8,38.3,35.7,48.1,42.2,38.7,33,64.8,4.7,Champions,7,2014
Oregon,P12,34,24,118.1,100,0.872,53.5,49.1,16.1,18.9,32.2,31.9,43.8,47.8,51,49.4,38.9,32.4,69.3,2.6,R32,7,2014
Texas,B12,35,24,112.4,96.7,0.8507,47.4,46.5,17.5,16.3,39.6,30.2,43.4,41,46.9,42.9,32.7,35.2,68.7,3.6,R32,7,2014
New Mexico,MWC,34,27,112.8,95.7,0.8693,51.1,45,15.9,14.9,32.5,28.2,46.7,31.3,51.7,41.1,33.2,34.8,66.2,4.4,R64,7,2014
Kentucky,SEC,40,29,117.2,96.2,0.9062,49.9,46,18.1,16.1,42,29.7,51.8,36.8,50,44.9,33.2,32.2,65.9,3.9,2ND,8,2014
Gonzaga,WCC,35,28,113.6,93.3,0.9064,55.2,44.6,17.4,17.4,30.6,29.5,41.2,38.6,53.6,43.3,39,31.8,66.5,4,R32,8,2014
Memphis,Amer,33,23,112.6,97,0.8479,51.9,48.4,18.6,20.3,35.8,33.3,39.5,33.8,52.7,49.2,33,31,69.5,2.8,R32,8,2014
Colorado,P12,35,23,106.9,96,0.774,48.3,49.4,19.7,17.8,34,26.1,48.3,30.2,48.6,47.3,31.8,35.6,66.9,2.4,R64,8,2014
Pittsburgh,ACC,36,26,117.1,94,0.9261,50.7,46.7,16.3,19.2,37.2,29,44.3,36.4,50.1,45.5,35.1,32.6,63.8,4.1,R32,9,2014
Kansas State,B12,33,20,107.9,92.9,0.8473,48.8,45.3,18.5,19,34.7,33.2,40.3,45.4,48.3,45.9,33.1,29.3,64.8,0.5,R64,9,2014
Oklahoma State,B12,34,21,115.6,94.8,0.9067,52.4,46.3,14.7,20,28,32,49.7,41,51.3,45,36.4,32.7,69.2,1.4,R64,9,2014
Arizona State,P12,33,21,110.3,96.4,0.8252,52.4,46.3,16.3,17,24.5,30.2,42.5,37.3,48.8,45.3,39,32.6,69.3,1.2,R64,10,2014
BYU,WCC,34,22,113.8,100.5,0.8078,50.6,49.1,15.3,16.6,34.9,28.6,47.6,36.8,49.2,48.2,36.9,33.7,73,0.6,R64,10,2014
Saint Joseph's,A10,34,24,113.8,97.5,0.8546,53.9,47.8,18.7,15.3,29.5,27.8,43.6,30.6,52.3,46,37.9,34.2,65.9,2.1,R64,10,2014
Stanford,P12,36,23,111.7,96.5,0.8436,51.3,48,17,17,29.3,28.1,45,37,49.9,45.8,36.4,34.9,67.2,1.1,S16,10,2014
Dayton,A10,37,26,113,99.1,0.8188,52.4,48.8,18.1,18.8,33.9,28.8,40.6,43,50.4,48.3,37.7,33.2,65.4,0.6,E8,11,2014
George Washington,A10,33,24,110.2,96.8,0.8151,51.5,47.2,19,19.6,35.1,31.4,46.6,33.4,50.2,47.4,36.4,31.2,67.2,3.2,R64,11,2014
Nebraska,B10,32,19,108.2,95,0.8172,48.3,47.6,16.7,19,25.7,29,42.3,44.9,47.4,47.8,33.3,31.5,66.4,1.3,R64,11,2014
Providence,BE,35,22,114.9,100.4,0.8249,48.3,48.9,17.3,16.4,35.3,30.8,41.9,33.7,46.5,48.8,34.7,32.8,64.9,1.2,R64,11,2014
Tennessee,SEC,36,23,118.1,93.4,0.9374,49.8,46.5,16.8,16.9,39.7,27.5,41.8,31.5,50.6,44.5,31.9,34.5,63.1,0.4,S16,11,2014
Harvard,Ivy,31,26,111.9,95.2,0.8641,52.1,46.2,17.6,21.1,32.3,29.3,48.4,36.3,49.7,44.9,38.6,32.7,65.5,2.2,R32,12,2014
North Dakota State,Sum,30,23,113.9,103,0.7613,54.5,49.8,15.6,17.1,30.6,27.9,41.6,40.2,55.4,46.1,34.7,37.8,64,0.2,R32,12,2014
Stephen F. Austin,Slnd,33,30,112,101.6,0.7527,52.3,50.5,16.9,23.6,38.2,28.9,39.9,50.7,52.3,50,34.9,34.7,63.5,1.7,R32,12,2014
North Carolina State,ACC,36,22,114.8,101.4,0.8066,50,47.5,15.8,17.4,34.1,35.6,37,42.6,51.5,47.3,30.5,32.1,66.5,0.6,R64,12,2014
Delaware,CAA,35,25,110.7,106,0.6237,50.4,49.4,13.4,16.8,29.1,32.8,43.9,38,49.5,49.6,34.7,32.7,72.3,-1.4,R64,13,2014
Manhattan,MAAC,33,25,106.2,96.4,0.7519,50.7,45.4,19.7,21.7,34.4,33.3,55.5,52.8,48.7,44,36.9,32.7,69.6,-0.5,R64,13,2014
New Mexico State,WAC,35,25,111.6,102,0.7385,53.2,44.4,18.7,16.1,37.7,33,53.9,34.1,52.9,42.7,36.1,33.2,67.1,-2.3,R64,13,2014
Tulsa,CUSA,34,21,105.6,95.8,0.7537,49.2,46.4,16.7,20.3,30.2,29.6,47.1,47.5,49.2,43.2,32.7,35.2,68.4,-3.6,R64,13,2014
Mercer,ASun,33,24,109.6,101.8,0.6993,54,46.8,17.5,19,32,31.1,37.3,41,51.6,46.9,38.8,31,65.2,-2.8,R32,14,2014
Louisiana Lafayette,SB,32,20,110.5,104.5,0.6557,51.5,50.4,18.8,18.5,36.5,31.8,44.3,44,49.6,50.6,37.1,33.2,70,-3.8,R64,14,2014
North Carolina Central,MEAC,32,26,107.9,100.2,0.7018,50.2,44.4,17.2,23.7,35.4,33.1,49.5,44.8,50.8,43.2,32.5,31,64.1,-0.6,R64,14,2014
Western Michigan,MAC,32,22,104.7,102.5,0.5605,52,47.6,20.9,18.5,31,32,51.4,34.7,53.7,47.8,32.6,31.5,67,-2.9,R64,14,2014
American,Pat,33,20,101.8,97.7,0.6178,55.8,46.4,23.1,19.6,26.5,29.7,35,40.7,55.1,45.7,37.9,31.9,61.4,-5.5,R64,15,2014
Eastern Kentucky,OVC,32,22,112.1,107.5,0.6177,56.7,55.7,15.8,24.2,23,34,43.2,54.9,55.7,56.7,38.6,35.8,66,-3.3,R64,15,2014
Milwaukee,Horz,34,20,104.3,103.9,0.5123,49.1,49.1,19.9,18.5,28.6,31.2,44.7,36.5,49.1,50.4,32.7,31,67.8,-6.1,R64,15,2014
Wofford,SC,30,17,99.7,102.2,0.4275,48.8,49.5,16.4,19.7,30.9,29,33,39.4,47.4,49.6,34.6,32.9,62.1,-6.5,R64,15,2014
Albany,AE,34,19,102.8,103.1,0.49,48.8,48.3,19.7,18.3,31.9,28.4,42,29.1,47,46,36,34.9,63.2,-8.6,R64,16,2014
Cal Poly,BW,32,12,102,104.4,0.4356,46,49.3,14.7,18.1,30.9,33.2,33.2,42.9,44.2,48.6,33,33.8,60.4,-10.7,R64,16,2014
Coastal Carolina,BSth,31,18,98.3,102,0.3946,48,47.5,20.2,18.3,34.2,29.3,38.6,39.6,47.6,46.7,32.6,32.4,67.5,-7.7,R64,16,2014
Weber State,BSky,29,17,106,106.6,0.4831,54.1,47.8,19,13.8,28.4,28.7,49.7,35.1,51.1,47,39.4,33.7,64.3,-6.9,R64,16,2014
Wisconsin,B10,40,36,129.1,93.6,0.9758,54.8,47.7,12.4,15.8,32.1,23.7,36.2,22.4,54.8,44.7,36.5,37.5,59.3,11.3,2ND,1,2015
Duke,ACC,39,35,125.2,90.6,0.9764,56.6,46.5,16.3,18.6,35.8,30.2,39.8,23.9,55.9,46.3,38.7,31.4,66.4,10.7,Champions,1,2015
Kentucky,SEC,39,38,120.3,84,0.9842,51.5,39.6,16.3,21.3,39.5,31.8,43.9,31.7,51.2,39.1,34.9,27.1,63.5,13.1,F4,1,2015
Villanova,BE,36,33,121.9,91.1,0.9663,55.3,45.5,16.3,21.6,32.5,31.2,41.8,30.4,53,45.3,38.9,30.5,64.7,11.3,R32,1,2015
Arizona,P12,38,34,117.5,86.9,0.97,53.5,45.1,16.5,20.6,34.5,22.4,47.1,37.3,53.3,42.7,36,33.5,66.7,9,E8,2,2015
Gonzaga,WCC,37,34,120.2,93.1,0.9498,57.9,44.2,16.1,17.1,33.9,28,38.7,30.5,57,42,40,33,65.2,7.8,E8,2,2015
Virginia,ACC,34,30,112.1,84.1,0.9648,50.6,42.3,15.7,17.9,34.3,24.2,34.9,28.6,49.7,40.1,35.2,30.8,58.4,10,R32,2,2015
Kansas,B12,36,27,113.6,90.6,0.9308,49.4,44.6,19.2,17.5,34.9,31.6,42.6,33.8,46.4,43.4,37.9,31.5,67.2,9,R32,2,2015
Notre Dame,ACC,38,32,125.3,98.6,0.9401,58.3,47.9,14.5,17.3,27.9,32.2,36.7,24.1,58.2,47.4,39,32.6,63.9,8.6,E8,3,2015
Baylor,B12,33,23,116.3,92.7,0.9316,49.8,45.8,20.1,19.3,41.9,31.5,38.6,32.1,46.1,46.4,38.2,29.8,62.1,5,R64,3,2015
Iowa State,B12,34,25,116.9,95.6,0.9103,54.3,47.6,15.8,18.5,28.3,29.6,36.5,24,54.3,45.2,36.2,34.7,69.8,7,R64,3,2015
Oklahoma,B12,35,24,111.6,88.5,0.9349,49.3,44.1,17.6,19.7,31.5,31.4,32.8,28.4,48.2,42.2,34.3,31.7,67.5,4.5,S16,3,2015
Louisville,ACC,36,27,109.4,87.4,0.929,47.7,44,17.2,21.3,34.7,30.8,38.7,33.3,48.4,43.3,30.7,30.3,65.6,5.8,E8,4,2015
Maryland,B10,35,28,110.2,94,0.8619,51.2,45.5,18.9,17.2,28.9,30.5,44.5,28.1,48,44.1,37.6,31.8,64.5,6.9,R32,4,2015
Georgetown,BE,33,22,112.6,93.5,0.8945,51.3,47.1,19.2,20.2,34.3,31,43.9,44.1,50.5,43.1,35.3,36.2,64.6,3.7,R32,4,2015
North Carolina,ACC,38,26,119.6,92.5,0.9507,51.6,45.4,18.2,17.7,40,31.2,35.2,37.8,50.9,45.6,35.8,30,69.9,6.5,S16,4,2015
Northern Iowa,MVC,35,31,115.4,93,0.9228,55.9,45.6,17.8,19.2,27,26.9,39.8,27,53.3,44,39.8,32.1,58.5,5.3,R32,5,2015
Arkansas,SEC,36,27,113.2,96,0.8696,50,48.3,16.9,22.3,35.7,34.6,37.3,38.8,48.8,46.2,34.9,35.2,69.9,3.9,R32,5,2015
West Virginia,B12,35,25,110.3,93.3,0.8733,46.1,52.7,18.7,28,40.1,31.1,40.4,55.5,45.5,51.8,31.6,36.5,68.6,4.1,S16,5,2015
Utah,P12,34,25,114.9,88.7,0.9513,55.2,43,18.2,18.3,31.3,28.4,43.4,34.3,52.3,41.4,40.1,31.2,61.4,3.7,S16,5,2015
Butler,BE,34,23,108.5,88.6,0.9115,48.4,46.7,17,19.5,34.7,25.3,40.8,33.4,46.3,47.1,35.6,30.7,63.9,3.5,R32,6,2015
SMU,Amer,33,26,111.1,94.6,0.8635,52.1,45.7,19.5,20.3,36.6,29.2,43.8,31.2,51.3,42.9,36.3,32.7,63.6,3.1,R64,6,2015
Providence,BE,34,22,111.6,93.7,0.8821,48.4,48.2,18.1,19.7,35.2,29,40.7,39.3,48.9,47.1,31.3,33.3,65.7,3.7,R64,6,2015
Xavier,BE,37,23,115.7,95.1,0.9049,53.3,50,18.1,18.8,31.3,27.3,38.5,33.3,53.7,48.9,35.1,34.6,65.5,1.3,S16,6,2015
Michigan State,B10,39,27,116.3,92.6,0.9327,53.2,44.9,17.5,16.5,33.5,27,32.7,39,50.8,43.8,38.5,31.5,63.9,3,F4,7,2015
Iowa,B10,34,22,114,92,0.9211,48.1,45.6,17.1,18.9,35.6,30.3,38,29.1,47.3,43.7,33.3,32.6,64.6,2.1,R32,7,2015
VCU,A10,36,26,108.4,94,0.8373,48.7,49.5,15.7,23.5,31.8,30.6,37.3,37.8,46.9,48.3,34.3,34.5,67.2,3,R64,7,2015
Wichita State,MVC,34,29,114.3,91.5,0.9277,50.3,45.8,15,21.3,34.5,27.4,36.2,36.6,48.9,42.6,35.4,35.3,62.6,4.2,S16,7,2015
Cincinnati,Amer,34,23,106.5,92.3,0.838,49.5,44.1,21,19.9,37.3,32.3,37.1,26.1,49.6,42.2,32.9,31.9,60.3,-1.3,R32,8,2015
San Diego State,MWC,35,26,103.1,87.5,0.8691,46.6,43.5,18.6,21.1,35.7,29.7,36.2,25.7,45.9,42.3,32,30.6,61.2,1.3,R32,8,2015
