TEAM,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,X2P_O,X2P_D,X3P_O,X3P_D,ADJ_T,WAB,YEAR
Davidson,32,26,115.7,101.5,0.8186,55.6,49.4,14.8,16.9,23.6,22.2,32.9,28,54.2,48.4,38.4,33.8,65.7,2.1,2022
Colorado State,29,24,112.5,98.7,0.8179,55.2,49.9,15.1,18.4,21.9,24.9,30.4,25,56.3,50.5,35.7,32.7,66.4,4.3,2022
USC,33,26,109.3,96,0.816,51.1,44.7,17.7,14.7,33.8,27.2,30.9,26.3,50.1,41.6,35.4,33.7,67.1,4.1,2022
Miami FL,33,23,114.3,100.6,0.8133,54.2,53.4,14.2,20.3,23.4,30.3,28.9,24.6,54.9,53.9,35.3,35.2,68.5,2.6,2022
UAB,32,25,111.1,98.1,0.8078,52.9,47.9,16.3,21.4,33.4,27.4,29.5,31.5,50.6,47.5,38.3,32.4,69.9,-0.1,2022
Marquette,31,19,107.9,95.3,0.806,52.6,46.7,17.3,19.1,22.4,31.4,26.8,29.7,52.9,46.2,34.7,31.7,72.1,0.6,2022
Creighton,33,22,104.2,92.3,0.8017,50.9,44.9,20.5,15.5,28.6,28.4,26,20.3,53.9,43.5,30.7,31.7,67.9,1.7,2022
Vermont,32,27,108.6,97.4,0.7775,57.3,47.7,14.9,17.1,24,18.6,26.6,22.6,58.9,45.2,36.8,34.4,65.9,-0.8,2022
South Dakota State,32,28,115,104,0.7612,59.7,51.5,15.3,15.8,24,24.2,35.2,21.3,56.3,50.6,44.2,35.2,70.7,1.5,2022
Chattanooga,32,25,108.4,98.5,0.7499,52.8,49.6,17,18,32.7,26.3,27,27.3,53.9,52.1,34.1,30.6,65.6,0.2,2022
New Mexico State,29,23,106.1,97.5,0.7262,52.2,45.5,20.7,16.9,33.3,26.2,35.4,27.8,54.1,45.8,33,30,67.3,0.7,2022
Richmond,35,23,107.7,99.4,0.7152,51.5,50.5,14.4,18.9,22.4,27.2,30.9,23.5,52.2,50,33.8,34.3,67.8,-1.6,2022
Saint Peter's,29,18,97.6,94.1,0.6044,47.8,44.1,20.8,20.9,31.5,28,37.5,41,45.9,44,34.8,29.4,66.8,-5.6,2022
Delaware,33,21,106.8,103.2,0.5972,53.5,49.3,18.4,18.5,26.8,31.2,34.6,29.3,54.2,47.5,35,34.9,67.6,-5.5,2022
Longwood,28,22,105.6,102.6,0.5811,51.7,50.6,18.2,20.1,33.6,24.5,35.9,26.8,48,53.6,38.6,31.1,66.8,-2.3,2022
Colgate,33,22,106.4,103.6,0.5778,55.9,49,16.9,16.2,26.5,24.8,26.8,24.3,52.7,48.2,40.2,33.7,68.2,-6.1,2022
Jacksonville State,29,19,104,101.7,0.565,54.2,48,20,17.1,28.3,26.2,32.2,21.1,51.8,47.4,38.2,32.5,66.2,-5.2,2022
Montana State,32,25,103,100.8,0.5608,54.1,48.6,18.5,18.3,26.7,23.3,40.5,36.2,53.2,48.2,37.2,32.8,68,-2.8,2022
Akron,31,22,104.8,102.7,0.5594,52.8,49.3,17.7,17.6,29.1,26.3,40.1,26.2,52.4,47.8,35.6,34.7,63,-4.3,2022
Georgia State,25,15,100.8,99.4,0.5409,45.1,49.7,16.9,22.7,32.8,30.7,30.2,32.8,43.1,45.4,32.3,37.9,68.2,-5.1,2022
Yale,29,18,99.8,98.4,0.539,50.1,48.9,18.3,18.2,25.6,26.5,32.7,31.1,50.5,51.1,32.9,30.4,69.8,-4.9,2022
Cal State Fullerton,29,19,102,103.2,0.4663,49.2,50.8,18.1,20.2,29,28,35.7,26.1,48.7,48,33.5,37.1,67.1,-5,2022
Texas Southern,30,18,96.9,98.6,0.4492,48.7,44.9,21.4,17.4,33.8,28.2,32.7,34.3,49.2,45.2,31.7,29.5,68.7,-6.8,2022
Norfolk State,27,21,99.9,102.1,0.4372,51.5,45.1,19.9,18.5,29.8,27.2,39.1,33.3,51.3,46.3,34.5,29.1,68.2,-3.1,2022
Wright State,33,20,104.2,106.9,0.4282,52,51.2,17.9,18.4,31.3,30,31.1,26,53.2,51.6,33,33.7,69.6,-8.4,2022
